CityMatch,Donation_Yr,Object ID
Aarau,1930,1
Abeokuta,1965,1
Abeokuta,1979,2
Abeokuta,1985,1
Abeokuta,1987,1
Abeokuta,2002,1
Abeokuta,2003,1
Abomey,1979,1
Abomey,2002,2
Agen,1918,1
Agra,1898,5
Agra,1993,1
Agra,2015,1
Ahmedabad,2000,1
Ahmedabad,2014,7
Ahmedabad,2016,1
Ajmer,1898,1
Akron,1959,1
Akron,1965,1
Akron,2016,1
Albany,1889,1
Albany,1901,4
Albany,1906,1
Albany,1912,1
Albany,1918,1
Albany,1924,12
Albany,1927,1
Albany,1928,1
Albany,1929,1
Albany,1931,3
Albany,1933,14
Albany,1934,1
Albany,1935,1
Albany,1937,1
Albany,1940,1
Albany,1941,1
Albany,1942,1
Albany,1943,3
Albany,1949,2
Albany,1951,1
Albany,1953,2
Albany,1954,1
Albany,1959,1
Albany,1961,3
Albany,1967,1
Albany,1969,2
Albany,1973,1
Albany,1986,3
Albany,1988,1
Albany,2001,1
Albany,2002,1
Albany,2011,1
Aleppo,1919,1
Aleppo,2013,1
Alexandria,1854,1
Alexandria,1917,7
Alexandria,1918,1
Alexandria,1926,1
Alexandria,1933,2
Algiers,1889,4
Allen,1948,1
Allentown,1969,3
Allentown,2015,1
Amiens,1917,1
Amiens,1929,1
Amiens,1936,1
Amiens,1963,1
Amiens,1982,1
Amiens,1986,2
Amritsar,1955,1
Amritsar,1983,1
Amsterdam,1889,2
Amsterdam,1917,1
Amsterdam,1921,5
Amsterdam,1922,2
Amsterdam,1923,2
Amsterdam,1924,3
Amsterdam,1925,1
Amsterdam,1926,1
Amsterdam,1927,2
Amsterdam,1928,1
Amsterdam,1931,2
Amsterdam,1932,6
Amsterdam,1933,1
Amsterdam,1934,1
Amsterdam,1935,3
Amsterdam,1936,1
Amsterdam,1937,2
Amsterdam,1938,2
Amsterdam,1941,12
Amsterdam,1945,2
Amsterdam,1946,5
Amsterdam,1947,3
Amsterdam,1948,3
Amsterdam,1949,43
Amsterdam,1951,2
Amsterdam,1953,1
Amsterdam,1954,1
Amsterdam,1958,3
Amsterdam,1959,14
Amsterdam,1960,1
Amsterdam,1961,15
Amsterdam,1962,2
Amsterdam,1963,2
Amsterdam,1966,4
Amsterdam,1970,12
Amsterdam,1973,1
Amsterdam,1975,2
Amsterdam,1986,1
Amsterdam,2005,6
Amsterdam,2008,4
Amsterdam,2009,1
Andover,1957,1
Angers,1923,1
Anna,2014,1
Anna,2017,1
Anna,2018,1
Annapolis,1924,3
Antioch,1904,1
Antioch,1950,3
Ardmore,1969,1
Arnhem,1981,1
Arusha,1974,1
Asbury Park,1969,5
Aswan,1910,10
Athens,1889,1
Atlanta,1986,1
Attleboro,1889,1
Attleboro,1964,3
Attleboro,2001,1
Auburn,1966,1
Auckland,2007,1
Auckland,2014,2
Augsburg,1889,6
Augsburg,1904,13
Augsburg,1912,1
Augsburg,1913,30
Augsburg,1918,2
Augsburg,1919,1
Augsburg,1920,2
Augsburg,1921,4
Augsburg,1922,11
Augsburg,1923,3
Augsburg,1924,2
Augsburg,1925,1
Augsburg,1926,12
Augsburg,1927,7
Augsburg,1928,11
Augsburg,1929,32
Augsburg,1930,4
Augsburg,1931,2
Augsburg,1932,4
Augsburg,1933,2
Augsburg,1934,1
Augsburg,1935,3
Augsburg,1936,5
Augsburg,1937,4
Augsburg,1938,3
Augsburg,1940,1
Augsburg,1941,2
Augsburg,1942,16
Augsburg,1944,1
Augsburg,1946,1
Augsburg,1947,7
Augsburg,1949,7
Augsburg,1950,2
Augsburg,1951,6
Augsburg,1952,1
Augsburg,1953,4
Augsburg,1954,2
Augsburg,1955,1
Augsburg,1957,1
Augsburg,1958,2
Augsburg,1959,1
Augsburg,1960,2
Augsburg,1961,1
Augsburg,1963,9
Augsburg,1967,1
Augsburg,1968,2
Augsburg,1969,3
Augsburg,1981,2
Augsburg,1984,3
Augsburg,1985,3
Augsburg,1991,1
Augsburg,1992,2
Augsburg,1995,1
Augsburg,2002,1
Augsburg,2004,2
Augsburg,2013,2
Augsburg,2015,3
Augsburg,2017,1
Aurangabad,1999,1
Aurora,1982,1
Auxerre,1947,1
Auxerre,1982,1
Baghdad,1898,1
Baghdad,1913,1
Baghdad,1925,2
Baghdad,1932,1
Baghdad,1933,1
Baghdad,1950,1
Baghdad,1955,1
Baghdad,1956,2
Baghdad,2004,1
Baghdad,2008,1
Bahraich,1986,1
Baku,1922,2
Balkh,1939,5
Balkh,1979,1
Baltimore,1889,1
Baltimore,1909,1
Baltimore,1913,1
Baltimore,1918,4
Baltimore,1919,2
Baltimore,1921,1
Baltimore,1924,2
Baltimore,1926,7
Baltimore,1929,1
Baltimore,1932,1
Baltimore,1933,6
Baltimore,1934,1
Baltimore,1939,4
Baltimore,1941,2
Baltimore,1942,1
Baltimore,1943,3
Baltimore,1945,1
Baltimore,1946,1
Baltimore,1952,1
Baltimore,1953,4
Baltimore,1954,5
Baltimore,1955,1
Baltimore,1958,1
Baltimore,1962,1
Baltimore,1963,2
Baltimore,1965,5
Baltimore,1968,2
Baltimore,1969,1
Baltimore,1970,3
Baltimore,1971,3
Baltimore,1974,3
Baltimore,1979,1
Baltimore,1980,1
Baltimore,1982,2
Baltimore,1983,1
Baltimore,1984,2
Baltimore,1986,1
Baltimore,1987,11
Baltimore,1989,1
Baltimore,1992,1
Baltimore,1995,1
Baltimore,1997,1
Baltimore,2004,1
Baltimore,2005,1
Baltimore,2009,1
Baltimore,2011,5
Baltimore,2013,1
Baltimore,2015,2
Baltimore,2016,3
Baltimore,2017,1
Baltimore,2018,1
Bamako,1959,1
Bamako,1964,2
Bamako,1979,4
Bamako,1997,4
Bamako,2015,21
Bandung,1889,1
Bandung,1935,1
Baotou,2014,1
Barcelona,1889,1
Barcelona,1917,1
Barcelona,1937,1
Barcelona,1963,1
Barcelona,1969,1
Barcelona,1971,1
Barcelona,1988,1
Barcelona,1990,1
Barcelona,2010,1
Basel,1889,1
Basel,1917,1
Basel,1921,1
Basel,1922,1
Basel,1925,1
Basel,1928,1
Basel,1929,1
Basel,1934,1
Basel,1941,4
Basel,1943,4
Basel,1951,1
Basel,1953,1
Basel,1964,1
Basel,1974,1
Basel,1990,1
Basra,1930,1
Basra,1932,1
Basra,1950,1
Basra,1952,27
Basra,1954,1
Basra,1963,1
Basra,1964,1
Basra,1976,1
Basra,1988,1
Bath,1947,1
Bath,1991,2
Battle Creek,1948,1
Bay City,1970,1
Bedford,1923,1
Bedford,1937,1
Bedford,1981,1
Beijing,1889,2
Beijing,1913,1
Beijing,1935,2
Beijing,1940,1
Belding,1957,1
Belfast,1972,1
Belfast,1981,1
Bella Bella,2011,2
Bend,1889,1
Benevento,1917,1
Bergamo,1945,1
Bergamo,1946,1
Bergamo,1949,1
Bergen,1889,1
Bergenfield,2013,1
Berkeley,1979,1
Berlin,1889,3
Berlin,1913,1
Berlin,1917,3
Berlin,1922,5
Berlin,1924,1
Berlin,1925,2
Berlin,1926,13
Berlin,1928,1
Berlin,1929,3
Berlin,1931,3
Berlin,1932,2
Berlin,1941,11
Berlin,1942,1
Berlin,1944,2
Berlin,1945,1
Berlin,1947,10
Berlin,1950,1
Berlin,1956,1
Berlin,1958,1
Berlin,1960,8
Berlin,1963,3
Berlin,1964,1
Berlin,1967,3
Berlin,1968,4
Berlin,1969,2
Berlin,1970,7
Berlin,1972,158
Berlin,1978,1
Berlin,1987,1
Berlin,1993,1
Berlin,1998,1
Berlin,2007,1
Berlin,2014,2
Berne,1935,1
Berne,1990,1
Besançon,2005,1
Bethlehem,1939,1
Bethlehem,1990,1
Bethlehem,1997,1
Bethlehem,2003,1
Beverly,1940,2
Beverly,1941,1
Beverly,1958,1
Beverly,1962,3
Beverly,1970,1
Beverly,1979,1
Beverly,1984,1
Beverly,1985,1
Bida,2000,2
Bidar,1891,1
Bidar,1919,3
Bidar,1984,1
Bidar,1987,1
Bidar,1996,1
Bidar,1998,1
Bijapur,1944,1
Bijapur,1956,2
Bijapur,1982,3
Bijapur,1983,3
Bijapur,1985,4
Bijapur,1990,2
Bijapur,1998,1
Bijapur,2007,1
Bijapur,2011,1
Bijapur,2013,2
Bikaner,1975,1
Bikaner,1976,1
Bikaner,2015,6
Bilaspur,2015,1
Biloxi,1976,1
Biloxi,1981,1
Biloxi,1982,1
Biloxi,1986,1
Biloxi,2017,6
Biloxi,2018,16
Binghamton,1926,1
Birmingham,1883,7
Birmingham,1907,1
Birmingham,1917,3
Birmingham,1925,1
Birmingham,1937,1
Birmingham,1942,2
Birmingham,1954,3
Birmingham,1956,1
Birmingham,1958,1
Birmingham,1960,3
Birmingham,1963,2
Birmingham,1967,4
Birmingham,1972,1
Birmingham,1978,1
Birmingham,2012,1
Biskra,1954,1
Black River,1965,1
Bluefields,1889,2
Bogota,1979,2
Bologna,1889,4
Bologna,1904,1
Bologna,1912,1
Bologna,1913,1
Bologna,1923,2
Bologna,1926,1
Bologna,1928,4
Bologna,1930,3
Bologna,1931,2
Bologna,1932,1
Bologna,1934,1
Bologna,1936,1
Bologna,1937,16
Bologna,1942,2
Bologna,1944,1
Bologna,1945,2
Bologna,1946,1
Bologna,1947,1
Bologna,1948,1
Bologna,1949,5
Bologna,1950,1
Bologna,1953,1
Bologna,1955,2
Bologna,1958,3
Bologna,1965,1
