objectID,accessionNumber,additionalImages,artistAlphaSort,artistBeginDate,artistDisplayBio,artistDisplayName,artistEndDate,artistNationality,artistPrefix,artistRole,artistSuffix,city,classification,constituents,country,county,creditLine,culture,department,dimensions,dynasty,excavation,geographyType,isHighlight,isPublicDomain,linkResource,locale,locus,medium,metadataDate,objectBeginDate,objectDate,objectEndDate,objectName,objectURL,period,portfolio,primaryImage,primaryImageSmall,region,reign,repository,rightsAndReproduction,river,state,subregion,tags,title
1,1979.486.1,[],"Longacre, James Barton",1794,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",James Barton Longacre,1869,American,,Maker,,,Metal,"[{'role': 'Maker', 'name': 'James Barton Longacre'}]",,,"Gift of Heinz L. Stoppelmann, 1979",,The American Wing,Dimensions unavailable,,,,FALSE,FALSE,,,,Gold,2019-04-06T04:53:53.487Z,1853,1853,1853,Coin,https://www.metmuseum.org/art/collection/search/1,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],One-dollar Liberty Head Coin
2,1980.264.5,[],"Gobrecht, Christian",1785,1785–1844,Christian Gobrecht,1844,,,Maker,,,Metal,"[{'role': 'Maker', 'name': 'Christian Gobrecht'}]",,,"Gift of Heinz L. Stoppelmann, 1980",,The American Wing,Dimensions unavailable,,,,FALSE,FALSE,,,,Gold,2019-04-06T04:53:54.783Z,1901,1901,1901,Coin,https://www.metmuseum.org/art/collection/search/2,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Ten-dollar Liberty Head Coin
3,67.265.9,[],,,,,,,,,,,Metal,,,,"Gift of C. Ruxton Love, Jr., 1967",,The American Wing,Diam. 11/16 in. (1.7 cm),,,,FALSE,FALSE,,,,Gold,2019-04-06T04:53:55.77Z,1909,1909–27,1927,Coin,https://www.metmuseum.org/art/collection/search/3,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Two-and-a-Half Dollar Coin
4,67.265.10,[],,,,,,,,,,,Metal,,,,"Gift of C. Ruxton Love, Jr., 1967",,The American Wing,Diam. 11/16 in. (1.7 cm),,,,FALSE,FALSE,,,,Gold,2019-04-06T04:53:56.707Z,1909,1909–27,1927,Coin,https://www.metmuseum.org/art/collection/search/4,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Two-and-a-Half Dollar Coin
5,67.265.11,[],,,,,,,,,,,Metal,,,,"Gift of C. Ruxton Love, Jr., 1967",,The American Wing,Diam. 11/16 in. (1.7 cm),,,,FALSE,FALSE,,,,Gold,2019-04-06T04:53:57.567Z,1909,1909–27,1927,Coin,https://www.metmuseum.org/art/collection/search/5,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Two-and-a-Half Dollar Coin
6,67.265.12,[],,,,,,,,,,,Metal,,,,"Gift of C. Ruxton Love, Jr., 1967",,The American Wing,Diam. 11/16 in. (1.7 cm),,,,FALSE,FALSE,,,,Gold,2019-04-06T04:53:58.63Z,1909,1909–27,1927,Coin,https://www.metmuseum.org/art/collection/search/6,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Two-and-a-Half Dollar Coin
7,67.265.13,[],,,,,,,,,,,Metal,,,,"Gift of C. Ruxton Love, Jr., 1967",,The American Wing,Diam. 11/16 in. (1.7 cm),,,,FALSE,FALSE,,,,Gold,2019-04-06T04:53:59.677Z,1909,1909–27,1927,Coin,https://www.metmuseum.org/art/collection/search/7,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,"['Birds', 'Coins']",Two-and-a-Half Dollar Coin
8,67.265.14,[],,,,,,,,,,,Metal,,,,"Gift of C. Ruxton Love, Jr., 1967",,The American Wing,Diam. 11/16 in. (1.7 cm),,,,FALSE,FALSE,,,,Gold,2019-04-06T04:54:00.58Z,1909,1909–27,1927,Coin,https://www.metmuseum.org/art/collection/search/8,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,"['Inscriptions', 'Men', 'Profiles', 'Coins']",Two-and-a-Half Dollar Coin
9,67.265.15,[],,,,,,,,,,,Metal,,,,"Gift of C. Ruxton Love, Jr., 1967",,The American Wing,Diam. 11/16 in. (1.7 cm),,,,FALSE,FALSE,,,,Gold,2019-04-06T04:54:01.44Z,1909,1909–27,1927,Coin,https://www.metmuseum.org/art/collection/search/9,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Two-and-a-Half Dollar Coin
10,1979.486.3,[],"Pratt, Bela Lyon",1867,1867–1917,Bela Lyon Pratt,1917,,,Maker,,,Metal,"[{'role': 'Maker', 'name': 'Bela Lyon Pratt'}]",,,"Gift of Heinz L. Stoppelmann, 1979",,The American Wing,Dimensions unavailable,,,,FALSE,FALSE,,,,Gold,2019-04-06T04:54:02.317Z,1912,1912,1912,Coin,https://www.metmuseum.org/art/collection/search/10,,,,,,,"Metropolitan Museum of Art, New York, NY",,,,,[],Two-and-a-half-dollar Indian Head Coin
