Medium,Frequency
wood,2720
earthenware,2402
silver,2254
glass,1990
stucco,1732
gold,1594
ink,1582
copper,1104
steel,1101
glaze,1044
préaud,1044
paper,999
silk,973
brass,959
paint,891
porcelain,845
book,650
mahogany,601
watercolor,591
ivory,559
stonepaste,548
lithograph,528
metal,512
cotton,467
alloy,421
enamel,420
pine,400
bronze,394
bone,386
iron,378
leather,374
pochoir,371
linen,361
wool,331
maple,325
gilt,300
palm,279
walnut,251
limestone,250
thread,232
pewter,223
poplar,215
fiber,211
marble,201
