,Medium,Frequency
0,etch,39307
1,engrav,27235
2,paint,4997
3,print,4711
4,carved,3340
5,glaze,3113
6,colored,2297
7,salted,1960
8,gilded,1583
9,incised,1447
10,embroidered,1236
11,framing,1125
12,woodcut,1018
13,pressed,990
14,decorated,875
15,tracing,841
16,lithography,834
17,molded,549
18,perforated,530
19,draw,523
20,hammered,516
21,coloring,501
22,folding,484
23,underdrawing,424
24,enameled,404
25,gilding,401
26,brocaded,380
27,stained,371
28,lacquered,369
29,polychromed,357
30,crackled,344
31,pasted,323
32,silvered,289
33,indurated,261
34,published,193
35,mottled,192
36,burnished,174
37,veneered,169
38,tinted,159
39,ebonized,115
40,illustrated,114
41,embossed,110
42,stumping,99
43,plated,97
44,lustered,89
45,scraping,86
46,framed,83
47,punched,81
48,burnishing,73
49,patinated,65
50,patterning,65
51,couching,60
52,oxidized,58
53,modeled,55
54,blued,54
55,tinned,53
56,knott,51
57,gouache,
58,letterpress,
59,surimono,
60,photogravure,
61,daguerreotype,
62,tint,
63,screenprint,445
64,inlay,444
65,triptych,
66,chiaroscuro,400
67,collotype,321
68,crochet,253
69,mosaic,239
70,blackwork,237
71,roulette,200
72,monochrome,186
73,dyed,185
74,intaglio,184
75,polychromy,174
76,hiramaki-e,165
77,maki-e,164
78,netsuke,161
79,chromolithography,135
80,diptych,83
81,takamaki-e,82
82,ink,33963
83,paper,33428
84,silk,32146
85,silver,30398
86,print,30299
87,terracotta,22946
88,glass,19775
89,wood,18411
90,gold,15885
91,graphite,12182
92,brown,12095
93,cotton,11052
94,bronze,10322
95,porcelain,10322
96,metal,10182
97,gelatin,9899
98,wool,9039
99,linen,7617
100,copper,7425
101,chalk,7085
102,paint,6989
103,earthenware,6951
104,faience,6684
105,oil,6067
106,leather,6064
107,film,6030
108,steel,5854
109,polychrome,5555
110,alloy,5481
111,thread,5208
112,gilt,4874
113,ivory,4771
114,limestone,4468
115,pottery,4256
116,iron,4239
117,weave,3997
118,lace,3792
119,brass,3776
120,stone,3139
121,hard-paste,2849
122,metallic,2719
123,enamel,2687
124,steatite,2430
125,lacquer,2402
126,bobbin,2296
127,marble,2074
128,clay,2034
129,pigment,2015
130,stucco,1913
131,shakudō,1800
132,soft-paste,1749
133,bone,1656
134,gum,1618
135,leaf,1460
136,stoneware,1458
137,fiber,1393
138,stonepaste,1339
139,shibuichi,1330
140,plastic,1292
141,lead,1245
142,jade,1195
143,charcoal,1174
144,alabaster,1142
145,needle,1140
146,oak,1130
147,hollstein,1124
148,carnelian,1100
149,walnut,1096
150,platinum,1095
151,préaud,1063
152,shell,1060
153,mahogany,1043
154,hair,1035
155,mother-of-pearl,964
156,travertine,919
157,pine,915
158,mud,824
159,pewter,823
160,chine,794
161,bamboo,790
162,tape,785
163,palm,781
164,camelid,747
165,flint,732
166,collé,725
167,line,722
168,straw,705
169,surimono,690
170,fur,674
171,velvet,669
172,plaster,640
173,pochoir,616
174,photogravure,596
175,crystal,589
176,rayon,587
177,maple,585
178,skin,580
179,agate,578
180,pastel,572
181,cardboard,570
182,parchment,559
183,satin,555
184,wire,534
185,tint,528
186,horn,526
187,weft,524
188,acrylic,522
189,ebony,510
190,wax,486
191,poplar,464
192,cloth,448
193,maiolica,447
194,paste,446
195,nylon,445
196,newsprint,441
197,sago,434
198,jasper,421
199,patina,419
200,nashiji,418
201,rock,406
202,zinc,383
203,dye,376
204,papyrus,374
205,chalcedony,365
206,gesso,357
207,arita,345
208,ash,340
209,jadeite,330
210,vellum,329
211,hizen,327
212,amethyst,309
213,rosewood,304
214,lapis,298
215,foil,296
216,cord,291
217,champlevé,290
218,tortoiseshell,282
219,lazuli,279
220,sandstone,273
221,hide,272
222,boxwood,264
223,spathe,261
224,cobalt,260
225,pearl,260
226,amber,260
227,raffia,254
228,silkscreen,252
229,cloisonné,244
230,aluminum,243
231,polyester,234
232,hematite,233
233,burin,231
234,veneer,230
235,rubber,228
236,cane,224
237,china,223
238,photo,222
239,carbon,218
240,felt,216
241,gourd,215
242,mortar,210
243,cyanotype,206
244,linoleum,202
245,tin,201
246,imari,200
247,string,193
248,cherry,188
249,vesme,185
250,resin,179
251,masonite,179
252,quartz,178
253,satsuma,178
254,basalt,177
255,horsehair,174
256,quartzite,168
257,feather,166
258,reed,165
259,spruce,163
260,diamond,162
261,bleach,162
262,onyx,162
263,alençon,160
264,orange,159
265,seto,159
266,fabric,155
267,ojime,154
268,beech,146
269,celadon,144
270,tulip,138
271,jet,138
272,hemp,136
273,bichromate,134
274,garnet,132
275,tissue,126
276,satinwood,126
277,movement,125
278,twill,124
279,tulipwood,100
280,mirror,100
281,lime,99
282,cassowary,99
283,teak,99
284,sentoku,98
285,birch,97
286,beryl,97
287,plywood,96
288,nickel,96
289,bark,96
290,granite,94
291,walrus,92
292,camwood,89
293,coconut,89
294,electrum,86
295,raku,86
296,apple,85
297,cranberry,85
298,timber,85
299,brocade,84
300,gypsum,83
301,filigree,83
302,palladium,82
303,beechwood,82
304,calabi,82
305,acetate,80
306,ruling,79
307,resist,79
308,feldspar,79
309,limewood,78
310,buratto,77
311,gauze,76
312,sycamore,68
313,rhinestone,67
